KitchenQual_TA,BsmtQual_TA,GarageFinish_Unf,GarageType_Detchd,Foundation_CBlock,HeatingQC_TA,Exterior2nd_VinylSd,2ndFlrSF,WoodDeckSF,HalfBath,BsmtExposure_Gd,KitchenQual_Gd,OpenPorchSF,GarageType_Attchd,LotFrontage,FireplaceQu_Gd,SaleCondition_Partial,Neighborhood_NridgHt,BsmtFinSF1,BsmtFinType1_GLQ,ExterQual_Gd,Fireplaces,MasVnrArea,TotRmsAbvGrd,FullBath,TotalBsmtSF,OverallQual
0,0,0,0,0,0,0,854,0,1,0,0,61,0,65.0,0,0,0,706,0,0,0,196.0,8,2,856,7
0,0,0,0,0,0,0,0,298,0,0,0,0,0,80.0,0,0,0,978,0,0,1,0.0,6,2,1262,6
0,0,0,0,0,0,0,866,0,1,0,0,42,0,68.0,0,0,0,486,0,0,1,162.0,6,2,920,7
0,0,0,0,0,0,0,756,0,0,0,0,35,0,60.0,0,0,0,216,0,0,1,0.0,7,1,756,7
0,0,0,0,0,0,0,1053,192,1,0,0,84,0,84.0,0,0,0,655,0,0,1,350.0,9,2,1145,8
0,0,0,0,0,0,0,566,40,1,0,0,30,0,85.0,0,0,0,732,0,0,0,0.0,5,1,796,5
0,0,0,0,0,0,0,0,255,0,0,0,57,0,75.0,0,0,0,1369,0,0,1,186.0,7,2,1686,8
0,0,0,0,0,0,0,983,235,1,0,0,204,0,69.0,0,0,0,859,0,0,2,240.0,7,2,1107,7
0,0,0,0,0,0,0,752,90,0,0,0,0,0,51.0,0,0,0,0,0,0,2,0.0,8,2,952,7
0,0,0,0,0,0,0,0,0,0,0,0,4,0,50.0,0,0,0,851,0,0,2,0.0,5,1,991,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,0,0,0,906,0,0,0,0.0,5,1,1040,5
0,0,0,0,0,0,0,1142,147,0,0,0,21,0,85.0,0,0,0,998,0,0,2,286.0,11,3,1175,9
0,0,0,0,0,0,0,0,140,0,0,0,0,0,69.0,0,0,0,737,0,0,0,0.0,4,1,912,5
0,0,0,0,0,0,0,0,160,0,0,0,33,0,91.0,0,0,0,0,0,0,1,306.0,7,2,1494,7
0,0,0,0,0,0,0,0,0,1,0,0,213,0,69.0,0,0,0,733,0,0,1,212.0,5,1,1253,6
0,0,0,0,0,0,0,0,48,0,0,0,112,0,51.0,0,0,0,0,0,0,0,0.0,5,1,832,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0,0,0,0,578,0,0,1,180.0,5,1,1004,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0,0,0,0,0,0,0,0,0.0,6,2,0,4
0,0,0,0,0,0,0,0,0,1,0,0,102,0,66.0,0,0,0,646,0,0,0,0.0,6,1,1114,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,0,0,0,504,0,0,0,0.0,6,1,1029,5
0,0,0,0,0,0,0,1218,240,1,0,0,154,0,101.0,0,0,0,0,0,0,1,380.0,9,3,1158,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.0,0,0,0,0,0,0,1,0.0,6,1,637,7
0,0,0,0,0,0,0,0,171,0,0,0,159,0,75.0,0,0,0,0,0,0,1,281.0,7,2,1777,8
0,0,0,0,0,0,0,0,100,0,0,0,110,0,44.0,0,0,0,840,0,0,1,0.0,6,1,1040,5
0,0,0,0,0,0,0,0,406,0,0,0,90,0,69.0,0,0,0,188,0,0,1,0.0,6,1,1060,5
0,0,0,0,0,0,0,0,222,0,0,0,32,0,60.0,0,0,0,234,0,0,0,0.0,5,1,900,5
0,0,0,0,0,0,0,0,0,0,0,0,50,0,98.0,0,0,0,1218,0,0,1,200.0,7,2,1704,8
0,0,0,0,0,0,0,0,288,0,0,0,258,0,47.0,0,0,0,1277,0,0,2,0.0,6,1,1484,5
0,0,0,0,0,0,0,0,49,0,0,0,0,0,60.0,0,0,0,0,0,0,0,0.0,4,1,520,4
0,0,0,0,0,0,0,668,0,0,0,0,54,0,50.0,0,0,0,0,0,0,0,0.0,6,1,649,4
0,0,0,0,0,0,0,0,0,1,0,0,65,0,69.0,0,0,0,0,0,0,0,0.0,6,1,1228,5
0,0,0,0,0,0,0,0,0,0,0,0,30,0,85.0,0,0,0,0,0,0,0,0.0,7,2,1234,8
0,0,0,0,0,0,0,0,0,1,0,0,38,0,70.0,0,0,0,1018,0,0,1,0.0,6,1,1398,5
0,0,0,0,0,0,0,0,203,0,0,0,47,0,60.0,0,0,0,1153,0,0,1,246.0,6,2,1561,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,0,1213,0,0,1,650.0,5,1,1297,5
0,0,0,0,0,0,0,0,0,0,0,0,52,0,68.0,0,0,0,731,0,0,0,0.0,5,1,1057,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.0,0,0,0,0,0,0,0,0.0,6,2,0,4
0,0,0,0,0,0,0,0,0,0,0,0,138,0,84.0,0,0,0,643,0,0,1,101.0,6,2,1088,6
0,0,0,0,0,0,0,0,240,0,0,0,0,0,69.0,0,0,0,747,0,0,0,0.0,5,1,840,5
0,0,0,0,0,0,0,0,145,0,0,0,0,0,69.0,0,0,0,280,0,0,0,0.0,5,1,938,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,0,0,0,179,0,0,0,0.0,6,1,1150,5
0,0,0,0,0,0,0,0,196,0,0,0,82,0,61.0,0,0,0,456,0,0,1,412.0,6,2,1752,9
0,0,0,0,0,0,0,631,168,1,0,0,43,0,48.0,0,0,0,1351,0,0,1,0.0,6,1,1434,7
0,0,0,0,0,0,0,0,0,0,0,0,146,0,84.0,0,0,0,24,0,0,0,0.0,7,2,1656,8
0,0,0,0,0,0,0,716,0,0,0,0,0,0,33.0,0,0,0,0,0,0,0,0.0,8,2,736,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,0,0,0,763,0,0,0,0.0,6,1,955,5
0,0,0,0,0,0,0,676,0,0,0,0,75,0,69.0,0,0,0,182,0,0,0,0.0,6,2,794,6
0,0,0,0,0,0,0,0,112,0,0,0,0,0,52.0,0,0,0,0,0,0,1,0.0,6,1,816,6
0,0,0,0,0,0,0,0,857,1,0,0,72,0,68.0,0,0,0,1810,0,0,1,0.0,5,0,1842,9
0,0,0,0,0,0,0,0,0,0,0,0,50,0,60.0,0,0,0,384,0,0,1,0.0,6,1,384,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,490,0,0,1,272.0,7,2,1425,6
0,0,0,0,0,0,0,860,0,1,0,0,70,0,89.0,0,0,0,0,0,0,0,0.0,7,2,860,7
0,0,0,0,0,0,0,1519,192,1,0,0,0,0,66.0,0,0,0,0,0,0,1,1031.0,10,3,1410,10
0,0,0,0,0,0,0,0,196,0,0,0,0,0,60.0,0,0,0,632,0,0,0,0.0,4,1,780,5
0,0,0,0,0,0,0,0,0,1,0,0,50,0,63.0,0,0,0,941,0,0,0,0.0,5,1,1158,6
0,0,0,0,0,0,0,530,0,0,0,0,0,0,60.0,0,0,0,0,0,0,0,0.0,6,1,530,5
0,0,0,0,0,0,0,0,120,0,0,0,49,0,44.0,0,0,0,24,0,0,1,178.0,6,2,1370,8
0,0,0,0,0,0,0,808,12,0,0,0,11,0,50.0,0,0,0,0,0,0,0,0.0,9,2,576,7
0,0,0,0,0,0,0,977,576,1,0,0,36,0,69.0,0,0,0,739,0,0,0,573.0,8,2,1057,7
0,0,0,0,0,0,0,1330,192,1,0,0,151,0,76.0,0,0,0,0,0,0,1,344.0,9,2,1143,8
0,0,0,0,0,0,0,0,301,0,0,0,0,0,69.0,0,0,0,912,0,0,1,287.0,7,2,1947,7
0,0,0,0,0,0,0,0,144,0,0,0,29,0,72.0,0,0,0,1013,0,0,0,167.0,7,2,1453,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0,0,0,0,0,0,0,0,0.0,4,1,747,4
0,0,0,0,0,0,0,983,0,0,0,0,21,0,81.0,0,0,0,603,0,0,1,0.0,7,2,1304,7
0,0,0,0,0,0,0,0,300,0,0,0,0,0,95.0,0,0,0,1880,0,0,2,1115.0,8,2,2223,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0,0,0,0,565,0,0,0,0.0,4,1,845,4
0,0,0,0,0,0,0,833,0,1,0,0,94,0,74.0,0,0,0,0,0,0,1,40.0,7,2,832,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0,0,0,0,320,0,0,0,104.0,6,1,1086,5
0,0,0,0,0,0,0,765,0,0,0,0,0,0,60.0,0,0,0,0,0,0,0,0.0,8,2,840,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0,0,0,0,228,0,0,0,0.0,4,1,952,4
0,0,0,0,0,0,0,213,0,0,0,0,0,0,50.0,0,0,0,336,0,0,0,0.0,6,1,672,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0,0,0,0,0,0,0,0,0.0,8,2,1768,4
0,0,0,0,0,0,0,548,74,1,0,0,0,0,60.0,0,0,0,0,0,0,0,0.0,5,1,440,5
0,0,0,0,0,0,0,960,0,1,0,0,72,0,100.0,0,0,0,448,0,0,1,576.0,8,2,896,6
0,0,0,0,0,0,0,0,0,0,0,0,199,0,32.0,0,0,0,1201,0,0,0,443.0,5,2,1237,6
0,0,0,0,0,0,0,0,144,0,0,0,99,0,78.0,0,0,0,33,0,0,1,468.0,6,2,1563,8
0,0,0,0,0,0,0,0,74,1,0,0,0,0,80.0,0,0,0,0,0,0,0,66.0,6,1,1065,5
0,0,0,0,0,0,0,670,120,1,0,0,72,0,69.0,0,0,0,0,0,0,1,22.0,7,2,384,7
0,0,0,0,0,0,0,612,0,1,0,0,234,0,40.0,0,0,0,0,0,0,0,76.0,4,2,612,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.0,0,0,0,0,0,0,0,0.0,6,1,1013,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,0,588,0,0,0,0.0,5,1,990,4
0,0,0,0,0,0,0,0,0,0,0,0,29,0,60.0,0,0,0,0,0,0,0,0.0,4,1,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0,0,0,0,600,0,0,0,203.0,6,1,1235,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,0,0,0,713,0,0,0,0.0,5,1,876,5
0,0,0,0,0,0,0,1031,0,0,0,0,0,0,60.0,0,0,0,1046,0,0,1,0.0,9,2,1214,6
0,0,0,0,0,0,0,881,0,1,0,0,162,0,69.0,0,0,0,648,0,0,0,0.0,7,2,824,6
0,0,0,0,0,0,0,790,232,1,0,0,63,0,69.0,0,0,0,310,0,0,1,68.0,6,2,680,6
0,0,0,0,0,0,0,0,158,0,0,0,29,0,78.0,0,0,0,1162,0,0,0,183.0,6,2,1588,7
0,0,0,0,0,0,0,0,120,0,0,0,0,0,73.0,0,0,0,520,0,0,0,48.0,6,1,960,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0,0,0,0,108,0,0,0,0.0,5,1,458,5
0,0,0,0,0,0,0,0,352,1,0,0,0,0,77.0,0,0,0,569,0,0,0,0.0,6,1,950,4
0,0,0,0,0,0,0,0,168,0,0,0,68,0,69.0,0,0,0,1200,0,0,2,28.0,6,2,1610,6
0,0,0,0,0,0,0,755,192,1,0,0,46,0,77.0,0,0,0,0,0,0,1,336.0,7,2,741,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,0,0,0,0,0,0,0,0.0,8,2,0,5
0,0,0,0,0,0,0,0,0,0,0,0,36,0,94.0,0,0,0,0,0,0,0,0.0,6,2,1226,7
