2ndFlrSF,WoodDeckSF,HalfBath,OpenPorchSF,LotFrontage,BsmtFinSF1,Fireplaces,MasVnrArea,TotRmsAbvGrd,FullBath,TotalBsmtSF,OverallQual,SaleCondition_Partial,BsmtFinType1_GLQ,GarageType_Attchd,Neighborhood_NridgHt,GarageFinish_Unf,KitchenQual_TA,Exterior2nd_VinylSd,BsmtExposure_Gd,FireplaceQu_Gd,BsmtQual_TA,Foundation_CBlock,GarageType_Detchd,HeatingQC_TA,ExterQual_Gd,KitchenQual_Gd,SalePrice
854,0,1,61,65.0,706,0,196.0,8,2,856,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208500
0,298,0,0,80.0,978,1,0.0,6,2,1262,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181500
866,0,1,42,68.0,486,1,162.0,6,2,920,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223500
756,0,0,35,60.0,216,1,0.0,7,1,756,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140000
1053,192,1,84,84.0,655,1,350.0,9,2,1145,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000
566,40,1,30,85.0,732,0,0.0,5,1,796,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143000
0,255,0,57,75.0,1369,1,186.0,7,2,1686,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307000
983,235,1,204,69.0,859,2,240.0,7,2,1107,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000
752,90,0,0,51.0,0,2,0.0,8,2,952,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129900
0,0,0,4,50.0,851,2,0.0,5,1,991,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118000
0,0,0,0,70.0,906,0,0.0,5,1,1040,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129500
1142,147,0,21,85.0,998,2,286.0,11,3,1175,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345000
0,140,0,0,69.0,737,0,0.0,4,1,912,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144000
0,160,0,33,91.0,0,1,306.0,7,2,1494,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279500
0,0,1,213,69.0,733,1,212.0,5,1,1253,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157000
0,48,0,112,51.0,0,0,0.0,5,1,832,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132000
0,0,0,0,69.0,578,1,180.0,5,1,1004,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149000
0,0,0,0,72.0,0,0,0.0,6,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90000
0,0,1,102,66.0,646,0,0.0,6,1,1114,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159000
0,0,0,0,70.0,504,0,0.0,6,1,1029,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139000
1218,240,1,154,101.0,0,1,380.0,9,3,1158,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325300
0,0,0,0,57.0,0,1,0.0,6,1,637,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139400
0,171,0,159,75.0,0,1,281.0,7,2,1777,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230000
0,100,0,110,44.0,840,1,0.0,6,1,1040,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129900
0,406,0,90,69.0,188,1,0.0,6,1,1060,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154000
0,222,0,32,60.0,234,0,0.0,5,1,900,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134800
0,0,0,50,98.0,1218,1,200.0,7,2,1704,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306000
0,288,0,258,47.0,1277,2,0.0,6,1,1484,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207500
0,49,0,0,60.0,0,0,0.0,4,1,520,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68500
668,0,0,54,50.0,0,0,0.0,6,1,649,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000
0,0,1,65,69.0,0,0,0.0,6,1,1228,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149350
0,0,0,30,85.0,0,0,0.0,7,2,1234,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179900
0,0,1,38,70.0,1018,1,0.0,6,1,1398,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165500
0,203,0,47,60.0,1153,1,246.0,6,2,1561,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277500
0,0,0,0,74.0,1213,1,650.0,5,1,1297,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153000
0,0,0,52,68.0,731,0,0.0,5,1,1057,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109000
