LotFrontage,OverallQual,MasVnrArea,BsmtFinSF1,TotalBsmtSF,2ndFlrSF,FullBath,HalfBath,TotRmsAbvGrd,Fireplaces,WoodDeckSF,OpenPorchSF
65.0,7,196.0,706,856,854,2,1,8,0,0,61
80.0,6,0.0,978,1262,0,2,0,6,1,298,0
68.0,7,162.0,486,920,866,2,1,6,1,0,42
60.0,7,0.0,216,756,756,1,0,7,1,0,35
84.0,8,350.0,655,1145,1053,2,1,9,1,192,84
85.0,5,0.0,732,796,566,1,1,5,0,40,30
75.0,8,186.0,1369,1686,0,2,0,7,1,255,57
69.0,7,240.0,859,1107,983,2,1,7,2,235,204
51.0,7,0.0,0,952,752,2,0,8,2,90,0
50.0,5,0.0,851,991,0,1,0,5,2,0,4
70.0,5,0.0,906,1040,0,1,0,5,0,0,0
85.0,9,286.0,998,1175,1142,3,0,11,2,147,21
69.0,5,0.0,737,912,0,1,0,4,0,140,0
91.0,7,306.0,0,1494,0,2,0,7,1,160,33
69.0,6,212.0,733,1253,0,1,1,5,1,0,213
51.0,7,0.0,0,832,0,1,0,5,0,48,112
69.0,6,180.0,578,1004,0,1,0,5,1,0,0
72.0,4,0.0,0,0,0,2,0,6,0,0,0
66.0,5,0.0,646,1114,0,1,1,6,0,0,102
70.0,5,0.0,504,1029,0,1,0,6,0,0,0
101.0,8,380.0,0,1158,1218,3,1,9,1,240,154
57.0,7,0.0,0,637,0,1,0,6,1,0,0
75.0,8,281.0,0,1777,0,2,0,7,1,171,159
44.0,5,0.0,840,1040,0,1,0,6,1,100,110
69.0,5,0.0,188,1060,0,1,0,6,1,406,90
60.0,5,0.0,234,900,0,1,0,5,0,222,32
98.0,8,200.0,1218,1704,0,2,0,7,1,0,50
47.0,5,0.0,1277,1484,0,1,0,6,2,288,258
60.0,4,0.0,0,520,0,1,0,4,0,49,0
50.0,4,0.0,0,649,668,1,0,6,0,0,54
69.0,5,0.0,0,1228,0,1,1,6,0,0,65
85.0,8,0.0,0,1234,0,2,0,7,0,0,30
70.0,5,0.0,1018,1398,0,1,1,6,1,0,38
60.0,9,246.0,1153,1561,0,2,0,6,1,203,47
74.0,5,650.0,1213,1297,0,1,0,5,1,0,0
68.0,5,0.0,731,1057,0,1,0,5,0,0,52
65.0,4,0.0,0,0,0,2,0,6,0,0,0
84.0,6,101.0,643,1088,0,2,0,6,1,0,138
69.0,5,0.0,747,840,0,1,0,5,0,240,0
69.0,5,0.0,280,938,0,1,0,5,0,145,0
70.0,5,0.0,179,1150,0,1,0,6,0,0,0
61.0,9,412.0,456,1752,0,2,0,6,1,196,82
48.0,7,0.0,1351,1434,631,1,1,6,1,168,43
84.0,8,0.0,24,1656,0,2,0,7,0,0,146
33.0,4,0.0,0,736,716,2,0,8,0,0,0
66.0,5,0.0,763,955,0,1,0,6,0,0,0
69.0,6,0.0,182,794,676,2,0,6,0,0,75
52.0,6,0.0,0,816,0,1,0,6,1,112,0
68.0,9,0.0,1810,1842,0,0,1,5,1,857,72
60.0,5,0.0,384,384,0,1,0,6,1,0,50
100.0,6,272.0,490,1425,0,2,0,7,1,0,0
89.0,7,0.0,0,860,860,2,1,7,0,0,70
66.0,10,1031.0,0,1410,1519,3,1,10,1,192,0
60.0,5,0.0,632,780,0,1,0,4,0,196,0
